Program Time [s],Smooth Altitude,Height,Smooth velocity,State,Runtime (us),Max Height,Max velocity
165.418,315.582,0.652252,0.185559,1,9473,0.703766,-0.394228
165.438,315.505,0.575043,0.14275,1,9468,0.703766,-0.394228
165.458,315.454,0.52356,0.028603,1,9468,0.703766,-0.394228
165.478,315.377,0.44632,-0.08559,1,9465,0.703766,-0.394228
165.498,315.248,0.317566,-0.099848,1,9466,0.703766,-0.394228
165.518,315.274,0.343323,-0.142554,1,9466,0.703766,-0.394228
165.538,315.196,0.266052,-0.228206,1,9467,0.703766,-0.394228
165.558,315.145,0.214569,-0.242397,1,9465,0.703766,-0.394228
165.579,315.119,0.188843,-0.285172,1,9464,0.703766,-0.394228
165.599,315.068,0.137329,-0.285172,1,9467,0.703766,-0.394228
165.619,315.145,0.214569,-0.199772,1,9470,0.703766,-0.394228
165.639,315.171,0.240295,-0.156963,1,9466,0.703766,-0.394228
165.659,315.248,0.317535,-0.071417,1,9467,0.703766,-0.394228
165.679,315.222,0.291779,-0.014551,1,9468,0.703766,-0.394228
165.699,315.325,0.394775,0.028106,1,9466,0.703766,-0.394228
165.719,315.248,0.317535,0.028333,1,9465,0.703766,-0.394228
165.739,315.196,0.266022,0.028333,1,9466,0.703766,-0.394228
165.76,315.196,0.266052,0.042579,1,9467,0.703766,-0.394228
165.78,315.222,0.291809,0.085258,1,9467,0.703766,-0.394228
165.8,315.299,0.369049,0.085258,1,9467,0.703766,-0.394228
165.82,315.196,0.266052,0.014164,1,9467,0.703766,-0.394228
165.84,315.171,0.240295,-0.042828,1,9469,0.703766,-0.394228
165.86,315.093,0.163055,-0.071278,1,9465,0.703766,-0.394228
165.88,315.093,0.163055,-0.128124,1,9467,0.703766,-0.394228
165.9,315.068,0.137329,-0.099559,1,9467,0.703766,-0.394228
165.92,315.196,0.266052,-6.1e-05,1,9468,0.703766,-0.394228
165.941,315.171,0.240295,-0.014288,1,9466,0.703766,-0.394228
165.961,315.145,0.214539,-0.042727,1,9466,0.703766,-0.394228
165.981,315.119,0.188782,-0.09961,1,9465,0.703766,-0.394228
166.001,315.068,0.137299,-0.071196,1,9465,0.703766,-0.394228
166.021,315.119,0.188782,-0.028554,1,9466,0.703766,-0.394228
166.041,315.145,0.214539,0.028437,1,9468,0.703766,-0.394228
166.061,315.145,0.214539,0.028478,1,9467,0.703766,-0.394228
166.081,315.119,0.188812,0.02851,1,9466,0.703766,-0.394228
166.101,315.068,0.137329,-0.071115,1,9468,0.703766,-0.394228
166.122,314.99,0.060089,-0.099584,1,9466,0.703766,-0.394228
166.142,314.965,0.034332,-0.099578,1,9467,0.703766,-0.394228
166.162,314.939,0.008575,-0.099579,1,9466,0.703766,-0.394228
166.182,314.939,0.008606,-0.071152,1,9466,0.703766,-0.394228
166.202,314.862,-0.068634,-0.142229,1,9467,0.703766,-0.394228
166.223,314.887,-0.042908,-0.1422,1,9465,0.703766,-0.394228
166.243,314.939,0.008575,-0.113799,1,9468,0.703766,-0.394228
166.263,314.939,0.008606,-0.099591,1,9464,0.703766,-0.394228
166.283,314.913,-0.01712,-0.085376,1,9467,0.703766,-0.394228
166.303,314.887,-0.042908,-0.056895,1,9467,0.703766,-0.394228
166.324,314.887,-0.042877,-0.042722,1,9466,0.703766,-0.394228
166.344,314.99,0.060089,0.028164,1,9467,0.703766,-0.394228
166.364,315.093,0.163086,0.085,1,9466,0.703766,-0.394228
166.384,315.042,0.111572,0.099179,1,9468,0.703766,-0.394228
166.404,315.145,0.214569,0.141842,1,9468,0.703766,-0.394228
166.424,315.042,0.111572,0.056584,1,9468,0.703766,-0.394228
166.444,315.068,0.137329,0.070826,1,9466,0.703766,-0.394228
166.464,315.093,0.163086,0.099268,1,9464,0.703766,-0.394228
166.484,315.145,0.214569,0.141971,1,9467,0.703766,-0.394228
166.504,315.171,0.240295,0.156151,1,9466,0.703766,-0.394228
166.524,315.222,0.291779,0.127717,1,9466,0.703766,-0.394228
166.544,315.17,0.240265,0.042528,1,9466,0.703766,-0.394228
166.564,315.145,0.214569,0.056879,1,9465,0.703766,-0.394228
166.584,315.171,0.240295,0.014176,1,9467,0.703766,-0.394228
166.604,315.042,0.111572,-8.5e-05,1,9466,0.703766,-0.394228
166.624,315.171,0.240295,0.056743,1,9466,0.703766,-0.394228
166.645,315.145,0.214569,0.028354,1,9466,0.703766,-0.394228
166.665,315.145,0.214569,-8.8e-05,1,9465,0.703766,-0.394228
166.685,315.119,0.188812,-0.028543,1,9466,0.703766,-0.394228
166.705,315.222,0.291779,-6e-05,1,9465,0.703766,-0.394228
166.725,315.171,0.240295,-3.3e-05,1,9467,0.703766,-0.394228
166.745,315.248,0.317535,0.056947,1,9466,0.703766,-0.394228
166.765,315.248,0.317535,0.042652,1,9465,0.703766,-0.394228
166.785,315.273,0.343292,0.128087,1,9467,0.703766,-0.394228
166.805,315.376,0.446259,0.113878,1,9467,0.703766,-0.394228
166.825,315.299,0.369019,0.085408,1,9468,0.703766,-0.394228
166.845,315.273,0.343292,0.071154,1,9466,0.703766,-0.394228
166.866,315.222,0.291779,0.056913,1,9467,0.703766,-0.394228
166.886,315.119,0.188812,-0.05707,1,9467,0.703766,-0.394228
166.906,314.99,0.060089,-0.099801,1,9467,0.703766,-0.394228
166.926,315.042,0.111603,-0.114064,1,9466,0.703766,-0.394228
166.946,314.939,0.008606,-0.171004,1,9467,0.703766,-0.394228
166.966,314.887,-0.042877,-0.213701,1,9468,0.703766,-0.394228
166.987,314.913,-0.017181,-0.256392,1,9469,0.703766,-0.394228
167.007,314.836,-0.094391,-0.256335,1,9467,0.703766,-0.394228
167.027,314.862,-0.068634,-0.227865,1,9469,0.703766,-0.394228
167.047,314.887,-0.042908,-0.185327,1,9465,0.703766,-0.394228
167.067,314.939,0.008606,-0.100258,1,9465,0.703766,-0.394228
167.088,315.068,0.137329,0.041975,1,9468,0.703766,-0.394228
167.108,315.145,0.214539,0.056223,1,9465,0.703766,-0.394228
167.128,315.119,0.188812,0.098899,1,9467,0.703766,-0.394228
