Program Time [s],Smooth Altitude,Height,Smooth velocity,State,Runtime (us),Max Height,Max velocity
245.376,314.527,-0.231689,-0.042631,1,9467,0.334686,-0.427351
245.397,314.398,-0.360413,-0.085201,1,9465,0.334686,-0.427351
245.417,314.45,-0.308929,-0.056813,1,9464,0.334686,-0.427351
245.437,314.424,-0.334656,-0.127776,1,9465,0.334686,-0.427351
245.457,314.424,-0.334686,-0.099398,1,9467,0.334686,-0.427351
245.477,314.424,-0.334686,-0.113556,1,9467,0.334686,-0.427351
245.498,314.398,-0.360443,-0.099469,1,9468,0.334686,-0.427351
245.518,314.527,-0.231689,-0.056832,1,9468,0.334686,-0.427351
245.538,314.372,-0.386169,-0.08518,1,9465,0.334686,-0.427351
245.558,314.372,-0.386169,-0.08504,1,9465,0.334686,-0.427351
245.579,314.372,-0.386169,-0.014289,1,9468,0.334686,-0.427351
245.599,314.424,-0.334686,-0.014135,1,9465,0.334686,-0.427351
245.619,314.398,-0.360413,-0.014179,1,9466,0.334686,-0.427351
245.639,314.424,-0.334656,3.1e-05,1,9465,0.334686,-0.427351
245.659,314.347,-0.411896,-0.042426,1,9467,0.334686,-0.427351
245.68,314.347,-0.411865,-0.028268,1,9466,0.334686,-0.427351
245.7,314.269,-0.489105,-0.141443,1,9465,0.334686,-0.427351
245.72,314.192,-0.566376,-0.099007,1,9467,0.334686,-0.427351
245.74,314.295,-0.463379,-0.042435,1,9465,0.334686,-0.427351
245.761,314.321,-0.437653,-0.028304,1,9470,0.334686,-0.427351
245.781,314.372,-0.386169,-0.028275,1,9466,0.334686,-0.427351
245.801,314.475,-0.283173,0.042431,1,9467,0.334686,-0.427351
245.821,314.501,-0.257416,0.042444,1,9468,0.334686,-0.427351
245.841,314.527,-0.231659,0.099039,1,9469,0.334686,-0.427351
245.861,314.553,-0.205963,0.113171,1,9465,0.334686,-0.427351
245.882,314.63,-0.128754,0.198164,1,9465,0.334686,-0.427351
245.902,314.733,-0.025757,0.297212,1,9469,0.334686,-0.427351
245.922,314.81,0.051483,0.283136,1,9466,0.334686,-0.427351
245.942,314.784,0.025726,0.254891,1,9465,0.334686,-0.427351
245.962,314.784,0.025757,0.226417,1,9465,0.334686,-0.427351
245.982,314.681,-0.07724,0.112956,1,9466,0.334686,-0.427351
246.002,314.604,-0.154449,0.056225,1,9468,0.334686,-0.427351
246.022,314.604,-0.154449,0.042073,1,9464,0.334686,-0.427351
246.042,314.604,-0.154449,0.028058,1,9467,0.334686,-0.427351
246.063,314.63,-0.128754,-0.000445,1,9464,0.334686,-0.427351
246.083,314.604,-0.15448,-0.071224,1,9466,0.334686,-0.427351
246.103,314.527,-0.231689,-0.156431,1,9468,0.334686,-0.427351
246.123,314.475,-0.283173,-0.170598,1,9465,0.334686,-0.427351
246.144,314.501,-0.257416,-0.156432,1,9466,0.334686,-0.427351
246.164,314.527,-0.231689,-0.08548,1,9463,0.334686,-0.427351
246.184,314.578,-0.180206,-0.014441,1,9468,0.334686,-0.427351
246.204,314.733,-0.025726,0.070613,1,9466,0.334686,-0.427351
246.224,314.784,0.025757,0.098919,1,9465,0.334686,-0.427351
246.244,314.733,-0.025726,0.05632,1,9468,0.334686,-0.427351
246.265,314.681,-0.07724,0.04232,1,9466,0.334686,-0.427351
246.285,314.656,-0.102997,0.070624,1,9466,0.334686,-0.427351
246.305,314.759,3.1e-05,0.155839,1,9465,0.334686,-0.427351
246.325,314.733,-0.025726,0.127453,1,9468,0.334686,-0.427351
246.345,314.733,-0.025726,0.113294,1,9468,0.334686,-0.427351
246.365,314.759,3.1e-05,0.099169,1,9466,0.334686,-0.427351
246.385,314.784,0.025757,0.028125,1,9469,0.334686,-0.427351
246.405,314.707,-0.051483,-0.042716,1,9465,0.334686,-0.427351
246.426,314.63,-0.128723,-0.056809,1,9466,0.334686,-0.427351
246.446,314.681,-0.07724,-2.9e-05,1,9464,0.334686,-0.427351
246.466,314.733,-0.025726,0.042432,1,9468,0.334686,-0.427351
246.486,314.733,-0.025726,-0.014285,1,9463,0.334686,-0.427351
246.507,314.681,-0.07724,-0.028465,1,9466,0.334686,-0.427351
246.527,314.681,-0.07724,-0.028451,1,9468,0.334686,-0.427351
246.547,314.63,-0.128723,-0.070995,1,9468,0.334686,-0.427351
246.567,314.553,-0.205933,-0.127678,1,9469,0.334686,-0.427351
246.587,314.527,-0.231689,-0.099084,1,9465,0.334686,-0.427351
246.608,314.475,-0.283173,-0.084855,1,9466,0.334686,-0.427351
246.628,314.424,-0.334656,-0.141503,1,9467,0.334686,-0.427351
246.649,314.45,-0.308929,-0.155834,1,9466,0.334686,-0.427351
246.668,314.527,-0.231659,-0.113357,1,9466,0.334686,-0.427351
246.689,314.475,-0.283173,-0.113295,1,9465,0.334686,-0.427351
246.709,314.527,-0.231689,-0.085019,1,9466,0.334686,-0.427351
246.729,314.527,-0.231689,-0.056701,1,9465,0.334686,-0.427351
246.75,314.578,-0.180206,0.014059,1,9468,0.334686,-0.427351
246.77,314.63,-0.128723,0.056535,1,9465,0.334686,-0.427351
246.79,314.578,-0.180176,0.056521,1,9467,0.334686,-0.427351
246.81,314.578,-0.180206,0.08484,1,9464,0.334686,-0.427351
246.83,314.63,-0.128693,0.098942,1,9468,0.334686,-0.427351
246.85,314.604,-0.154449,0.042305,1,9466,0.334686,-0.427351
246.87,314.475,-0.283173,-0.000152,1,9465,0.334686,-0.427351
246.89,314.604,-0.154449,0.042347,1,9469,0.334686,-0.427351
246.91,314.553,-0.205933,0.014071,1,9466,0.334686,-0.427351
246.931,314.501,-0.257416,-0.042648,1,9469,0.334686,-0.427351
246.951,314.475,-0.283173,-0.085064,1,9464,0.334686,-0.427351
246.971,314.424,-0.334656,-0.085064,1,9468,0.334686,-0.427351
246.991,314.501,-0.257416,-0.042587,1,9467,0.334686,-0.427351
247.012,314.553,-0.205933,-0.042573,1,9465,0.334686,-0.427351
247.032,314.553,-0.205933,-0.0284,1,9466,0.334686,-0.427351
247.052,314.578,-0.180206,0.056556,1,9466,0.334686,-0.427351
247.072,314.63,-0.128693,0.014097,1,9466,0.334686,-0.427351
247.092,314.527,-0.231659,-0.014264,1,9467,0.334686,-0.427351
247.113,314.553,-0.205933,0.028193,1,9467,0.334686,-0.427351
247.133,314.578,-0.180206,0.056614,1,9466,0.334686,-0.427351
247.153,314.553,-0.205963,0.07078,1,9467,0.334686,-0.427351
247.173,314.63,-0.128754,0.07078,1,9466,0.334686,-0.427351
247.193,314.63,-0.128754,0.042428,1,9467,0.334686,-0.427351
247.213,314.578,-0.180237,0.014096,1,9465,0.334686,-0.427351
247.233,314.578,-0.180206,-0.000131,1,9467,0.334686,-0.427351
247.254,314.527,-0.231689,-0.05674,1,9464,0.334686,-0.427351
247.274,314.45,-0.308929,-0.042637,1,9466,0.334686,-0.427351
247.294,314.424,-0.334686,-0.070996,1,9466,0.334686,-0.427351
247.314,314.424,-0.334686,-0.085108,1,9466,0.334686,-0.427351
247.335,314.424,-0.334686,-0.070949,1,9468,0.334686,-0.427351
247.355,314.424,-0.334686,-0.113433,1,9467,0.334686,-0.427351
247.375,314.321,-0.437683,-0.170038,1,9467,0.334686,-0.427351
247.395,314.295,-0.463409,-0.155859,1,9467,0.334686,-0.427351
247.416,314.347,-0.411926,-0.127583,1,9466,0.334686,-0.427351
247.436,314.295,-0.463379,-0.127472,1,9466,0.334686,-0.427351
247.456,314.295,-0.463379,-0.08506,1,9465,0.334686,-0.427351
247.476,314.372,-0.386139,-0.028386,1,9468,0.334686,-0.427351
247.497,314.398,-0.360413,-0.014166,1,9465,0.334686,-0.427351
247.517,314.321,-0.437622,-0.056648,1,9467,0.334686,-0.427351
247.537,314.321,-0.437622,-0.056648,1,9466,0.334686,-0.427351
247.557,314.347,-0.411896,0.014083,1,9467,0.334686,-0.427351
