Program Time [s],Smooth Altitude,Height,Smooth velocity,State,Runtime (us),Max Height,Max velocity
2.05753,315.728,0.540649,0.042873,1,9477,0.746643,0.412218
2.07758,315.651,0.46344,-0.028725,1,9473,0.746643,0.412218
2.09762,315.574,0.386169,-0.057355,1,9471,0.746643,0.412218
2.11767,315.625,0.437653,-0.043042,1,9471,0.746643,0.412218
2.13767,315.728,0.540649,0.01418,1,9470,0.746643,0.412218
2.15762,315.806,0.61792,0.028484,1,9470,0.746643,0.412218
2.1776,315.831,0.643646,0.07139,1,9471,0.746643,0.412218
2.19763,315.909,0.720886,0.057056,1,9469,0.746643,0.412218
2.21756,315.831,0.643677,0.042682,1,9469,0.746643,0.412218
2.23752,315.883,0.69516,0.085652,1,9468,0.746643,0.412218
2.25752,315.96,0.7724,0.171559,1,9470,0.7724,0.412218
2.27748,315.883,0.69516,0.171629,1,9466,0.7724,0.412218
2.29752,315.857,0.669434,0.128688,1,9470,0.7724,0.412218
2.31742,315.806,0.61792,0.042774,1,9470,0.7724,0.412218
2.33749,315.677,0.489197,-0.07174,1,9471,0.7724,0.412218
2.35754,315.574,0.38623,-0.143308,1,9469,0.7724,0.412218
2.37761,315.574,0.38623,-0.186214,1,9470,0.7724,0.412218
2.39765,315.522,0.334717,-0.171912,1,9469,0.7724,0.412218
2.41773,315.522,0.334717,-0.200505,1,9470,0.7724,0.412218
2.43778,315.497,0.30896,-0.257669,1,9471,0.7724,0.412218
2.45786,315.419,0.231689,-0.257735,1,9470,0.7724,0.412218
2.47792,315.445,0.257446,-0.229084,1,9471,0.7724,0.412218
2.49803,315.574,0.386169,-0.129017,1,9470,0.7724,0.412218
2.51811,315.548,0.360443,-0.071787,1,9470,0.7724,0.412218
2.53806,315.6,0.411926,0.014022,1,9470,0.7724,0.412218
2.55805,315.651,0.463409,0.042753,1,9469,0.7724,0.412218
2.57805,315.6,0.411926,0.042753,1,9469,0.7724,0.412218
2.59795,315.548,0.360474,0.014172,1,9468,0.7724,0.412218
2.61793,315.522,0.334717,0.014181,1,9471,0.7724,0.412218
2.63788,315.6,0.411987,0.09993,1,9467,0.7724,0.412218
2.65785,315.625,0.437714,0.099994,1,9470,0.7724,0.412218
2.67785,315.677,0.489197,0.057032,1,9473,0.7724,0.412218
2.69791,315.548,0.360474,-8.4e-05,1,9470,0.7724,0.412218
2.71804,315.548,0.360474,-0.028659,1,9468,0.7724,0.412218
2.73806,315.548,0.360443,-0.057177,1,9470,0.7724,0.412218
2.75811,315.471,0.283203,-0.071548,1,9467,0.7724,0.412218
2.77815,315.419,0.23172,-0.071548,1,9470,0.7724,0.412218
2.79822,315.394,0.205963,-0.071557,1,9471,0.7724,0.412218
2.81827,315.368,0.180206,-0.128673,1,9470,0.7724,0.412218
2.83833,315.239,0.051483,-0.21438,1,9470,0.7724,0.412218
2.85841,315.239,0.051483,-0.243016,1,9471,0.7724,0.412218
2.87846,315.213,0.025726,-0.185779,1,9469,0.7724,0.412218
2.89852,315.239,0.051483,-0.171466,1,9469,0.7724,0.412218
2.91859,315.213,0.025726,-0.185669,1,9470,0.7724,0.412218
2.93865,315.188,0,-0.15715,1,9470,0.7724,0.412218
2.95871,315.213,0.025726,-0.114245,1,9468,0.7724,0.412218
2.97877,315.239,0.051483,-0.085725,1,9473,0.7724,0.412218
2.99885,315.213,0.025757,-0.085697,1,9468,0.7724,0.412218
3.01889,315.188,0,-0.028553,1,9469,0.7724,0.412218
3.03887,315.265,0.077271,0.014269,1,9470,0.7724,0.412218
3.05887,315.213,0.025757,2e-06,1,9470,0.7724,0.412218
3.07891,315.188,0,-0.028545,1,9472,0.7724,0.412218
3.09911,315.136,-0.051514,-0.042819,1,9468,0.7724,0.412218
3.11921,315.162,-0.025757,-0.0143,1,9470,0.7724,0.412218
3.13935,315.11,-0.077271,-0.057079,1,9469,0.7724,0.412218
3.1595,315.059,-0.128754,-0.099835,1,9472,0.7724,0.412218
3.17967,315.007,-0.180237,-0.114111,1,9472,0.7724,0.412218
3.1998,315.033,-0.15451,-0.085614,1,9469,0.7724,0.412218
3.22003,315.11,-0.077271,-0.085587,1,9471,0.7724,0.412218
3.24011,315.033,-0.15451,-0.099806,1,9467,0.7724,0.412218
3.26024,315.085,-0.103027,-0.057192,1,9468,0.7724,0.412218
3.28029,315.162,-0.025757,0.013947,1,9468,0.7724,0.412218
3.30028,315.188,0,0.014017,1,9470,0.7724,0.412218
3.32025,315.213,0.025757,0.056673,1,9470,0.7724,0.412218
3.34022,315.265,0.07724,0.113627,1,9469,0.7724,0.412218
3.3602,315.316,0.128723,0.17063,1,9469,0.7724,0.412218
3.3802,315.394,0.205963,0.199166,1,9470,0.7724,0.412218
3.40015,315.445,0.257446,0.184929,1,9467,0.7724,0.412218
3.42012,315.419,0.23172,0.213449,1,9472,0.7724,0.412218
3.44011,315.471,0.283203,0.213365,1,9468,0.7724,0.412218
3.4601,315.394,0.205963,0.127806,1,9469,0.7724,0.412218
3.4801,315.394,0.205963,0.113858,1,9470,0.7724,0.412218
3.50025,315.445,0.257446,0.128061,1,9470,0.7724,0.412218
3.52005,315.368,0.180206,0.056762,1,9471,0.7724,0.412218
3.54003,315.394,0.205963,0.042711,1,9470,0.7724,0.412218
3.56011,315.342,0.15448,-0.028825,1,9470,0.7724,0.412218
3.58014,315.316,0.128723,-0.071604,1,9469,0.7724,0.412218
3.60016,315.342,0.15448,-0.042988,1,9467,0.7724,0.412218
3.62021,315.368,0.180206,-0.057276,1,9469,0.7724,0.412218
3.64028,315.316,0.128723,-0.042974,1,9469,0.7724,0.412218
3.66036,315.291,0.102966,-0.05718,1,9470,0.7724,0.412218
3.68041,315.213,0.025757,-0.128667,1,9470,0.7724,0.412218
3.70057,315.136,-0.051514,-0.128667,1,9472,0.7724,0.412218
3.72071,315.162,-0.025757,-0.128544,1,9471,0.7724,0.412218
3.74084,315.11,-0.07724,-0.128695,1,9469,0.7724,0.412218
3.76091,315.213,0.025757,-0.057166,1,9469,0.7724,0.412218
3.78105,315.213,0.025757,-0.071406,1,9471,0.7724,0.412218
