Program Time [s],Smooth Altitude,Height,Smooth velocity,State,Runtime (us),Max Height,Max velocity
394.57,314.046,0.317505,-0.114679,1,9476,0.574921,0.346229
394.59,314.046,0.317505,-0.143437,1,9472,0.574921,0.346229
394.61,314.149,0.420471,-0.029105,1,9469,0.574921,0.346229
394.63,314.252,0.523438,0.099445,1,9470,0.574921,0.346229
394.65,314.355,0.626434,0.185446,1,9469,0.626434,0.346229
394.669,314.381,0.652161,0.199773,1,9469,0.652161,0.346229
394.689,314.381,0.652161,0.214052,1,9469,0.652161,0.346229
394.709,314.484,0.755157,0.271219,1,9468,0.755157,0.346229
394.729,314.51,0.780884,0.256913,1,9468,0.780884,0.346229
394.749,314.458,0.729401,0.228316,1,9467,0.780884,0.346229
394.769,314.432,0.703644,0.213977,1,9469,0.780884,0.346229
394.789,314.355,0.626434,0.113881,1,9470,0.780884,0.346229
394.809,314.227,0.497711,-0.014756,1,9468,0.780884,0.346229
394.829,314.227,0.497711,-0.071697,1,9469,0.780884,0.346229
394.85,314.252,0.523438,-0.071697,1,9471,0.780884,0.346229
394.87,314.252,0.523438,-0.071697,1,9468,0.780884,0.346229
394.89,314.252,0.523468,-0.128858,1,9470,0.780884,0.346229
394.91,314.072,0.343262,-0.243143,1,9468,0.780884,0.346229
394.93,313.969,0.240295,-0.271702,1,9469,0.780884,0.346229
394.95,313.943,0.214539,-0.271702,1,9470,0.780884,0.346229
394.97,313.943,0.214539,-0.228783,1,9469,0.780884,0.346229
394.99,313.969,0.240265,-0.14301,1,9467,0.780884,0.346229
395.01,313.995,0.266022,-0.128502,1,9470,0.780884,0.346229
395.03,313.943,0.214539,-0.171391,1,9472,0.780884,0.346229
395.05,313.892,0.163055,-0.199908,1,9470,0.780884,0.346229
395.07,313.84,0.111572,-0.228424,1,9472,0.780884,0.346229
395.09,313.84,0.111572,-0.128511,1,9469,0.780884,0.346229
395.11,313.969,0.240295,-4.7e-05,1,9472,0.780884,0.346229
395.13,313.995,0.266022,0.028512,1,9470,0.780884,0.346229
395.15,314.021,0.291779,0.042776,1,9469,0.780884,0.346229
395.17,314.072,0.343262,0.057048,1,9469,0.780884,0.346229
395.19,314.072,0.343262,0.042808,1,9469,0.780884,0.346229
395.21,314.098,0.368988,0.085585,1,9468,0.780884,0.346229
395.23,314.149,0.420471,0.142722,1,9470,0.780884,0.346229
395.25,314.252,0.523438,0.228438,1,9471,0.780884,0.346229
395.27,314.304,0.574951,0.256954,1,9470,0.780884,0.346229
